,交易日期,品種代碼,魚貨名稱,市場名稱,上價,中價,下價,交易量,平均價
0,1120711,2021,金線,台中,401.0,359.3,317.0,73.0,372.8
1,1120711,2021,金線,台南,450.0,450.0,450.0,260.0,450.0
2,1120711,2021,金線,苗栗,365.0,352.5,340.0,15.0,348.6
3,1120711,2021,金線,斗南,346.0,337.8,330.0,14.6,337.9
4,1120711,2021,金線,台北,430.8,258.7,182.3,31.1,277.8
5,1120711,2021,金線,嘉義,362.0,348.8,340.0,31.7,349.7
6,1120711,2021,金線,埔心,439.2,419.2,390.6,12.4,417.5
7,1120711,2021,金線,新營,240.0,240.0,240.0,7.8,240.0
8,1120711,2021,金線,彰化,411.0,389.0,209.0,57.7,389.0
9,1120710,2021,金線,新港,560.0,560.0,560.0,0.7,560.0
10,1120709,2021,金線,苗栗,365.0,360.0,355.0,14.2,359.0
11,1120709,2021,金線,斗南,421.9,369.5,314.1,34.0,368.9
12,1120709,2021,金線,台北,492.0,466.3,431.5,20.0,464.4
13,1120709,2021,金線,岡山,350.0,350.0,350.0,15.2,350.0
14,1120709,2021,金線,埔心,467.2,429.9,401.0,35.8,431.6
15,1120709,2021,金線,台中,402.0,370.0,349.0,115.0,371.5
16,1120709,2021,金線,彰化,461.0,437.0,411.0,57.7,436.2
17,1120709,2021,金線,嘉義,439.1,422.0,386.3,49.4,418.3
18,1120708,2021,金線,台南,480.0,480.0,480.0,220.0,480.0
19,1120708,2021,金線,埔心,469.3,437.6,414.4,17.3,439.3
20,1120708,2021,金線,彰化,500.0,403.0,204.0,39.8,402.9
21,1120708,2021,金線,斗南,429.1,383.8,299.1,34.7,375.9
22,1120708,2021,金線,嘉義,394.3,344.4,303.2,50.1,346.1
23,1120708,2021,金線,台北,480.7,443.0,290.3,58.0,420.0
24,1120708,2021,金線,苗栗,390.0,362.5,335.0,22.2,368.8
25,1120708,2021,金線,台中,421.0,352.3,330.0,84.0,384.7
26,1120707,2021,金線,台中,548.5,404.4,395.0,126.0,409.8
27,1120707,2021,金線,斗南,378.7,361.2,339.1,51.5,360.3
28,1120707,2021,金線,台北,480.0,470.0,462.4,9.9,470.5
29,1120707,2021,金線,彰化,447.0,436.0,422.0,36.6,435.7
30,1120707,2021,金線,苗栗,370.0,350.0,330.0,22.6,354.7
31,1120706,2021,金線,台北,487.9,458.2,350.0,24.1,442.5
32,1120706,2021,金線,新竹,375.2,367.7,353.2,14.6,366.3
33,1120706,2021,金線,新港,300.0,300.0,300.0,0.4,300.0
34,1120706,2021,金線,嘉義,435.2,396.7,365.1,41.7,398.1
35,1120706,2021,金線,苗栗,405.0,372.5,340.0,36.5,364.0
36,1120706,2021,金線,埔心,432.6,403.4,364.9,22.9,401.6
37,1120706,2021,金線,斗南,430.4,364.9,317.5,29.6,368.5
38,1120706,2021,金線,台中,665.0,387.2,370.0,163.0,397.0
39,1120706,2021,金線,岡山,320.0,320.0,320.0,15.2,320.0
40,1120706,2021,金線,彰化,449.0,432.0,400.0,35.7,431.8
41,1120705,2021,金線,彰化,435.0,400.0,374.0,29.5,399.9
42,1120705,2021,金線,台中,0.0,392.3,0.0,52.0,392.3
43,1120705,2021,金線,新港,610.0,610.0,610.0,0.5,610.0
44,1120705,2021,金線,台北,0.0,470.0,0.0,1.0,470.0
45,1120704,2021,金線,新竹,335.0,326.0,310.0,10.0,324.6
46,1120704,2021,金線,台中,609.3,379.9,343.7,177.0,387.3
47,1120704,2021,金線,埔心,405.6,383.4,361.9,14.4,383.5
48,1120704,2021,金線,斗南,355.1,343.7,340.0,22.2,345.2
49,1120704,2021,金線,嘉義,405.2,379.1,354.5,87.9,379.4
50,1120704,2021,金線,台北,470.0,373.9,163.2,26.8,351.0
51,1120704,2021,金線,苗栗,370.0,345.0,320.0,37.1,346.2
52,1120704,2021,金線,彰化,469.0,426.0,380.0,86.8,425.9
53,1120702,2021,金線,彰化,392.0,392.0,392.0,7.5,392.0
54,1120702,2021,金線,台北,502.2,440.7,420.0,8.7,448.9
55,1120702,2021,金線,台中,0.0,340.0,0.0,7.0,340.0
56,1120702,2021,金線,嘉義,419.0,419.0,419.0,3.2,419.1
57,1120701,2021,金線,台南,450.0,450.0,450.0,270.0,450.0
58,1120701,2021,金線,台中,395.5,369.3,250.0,79.0,360.2
59,1120701,2021,金線,台北,467.7,315.9,200.0,11.6,323.1
60,1120701,2021,金線,彰化,450.0,416.0,355.0,27.0,416.0
61,1120701,2021,金線,嘉義,402.1,359.7,346.0,35.5,365.4
62,1120701,2021,金線,苗栗,355.0,337.5,320.0,21.8,329.5
63,1120630,2021,金線,新竹,346.1,333.8,237.9,16.5,317.1
64,1120630,2021,金線,斗南,392.4,361.0,329.0,37.4,360.9
65,1120630,2021,金線,台北,456.3,403.4,253.8,40.5,384.1
66,1120630,2021,金線,苗栗,370.0,347.5,325.0,37.3,342.0
67,1120630,2021,金線,新港,490.0,490.0,490.0,0.3,490.0
68,1120630,2021,金線,台中,627.0,434.5,351.0,32.0,432.6
